Ученик,Домашняя,Опрос,Тест,Контрольная ,Экзамен
Авокадова Ирина,3,3,5,5,4
Арахис Борис,4,2,4,2,5
Борщов Алехандро,5,3,5,4,5
Бублик Семен,2,2,2,3,3
Бутербродная Анна,3,2,5,4,5
Гуляшов Игорь,5,2,3,4,2
Десертин Николай,3,4,2,2,5
Кашкина Мария,5,5,5,3,5
Квасов Александр,4,2,2,3,3
Колбаскин Петр,3,5,4,4,5
Овсов Илья,2,3,2,3,2
Печенькина Екатерина,4,4,2,3,2
Свинина Марина,2,5,5,3,4
Сметанка Василий,3,4,5,2,2
Творожкина Вероника,4,2,5,5,2
Хачапурный Денис,5,4,2,2,3
Хлебцов Геннадий,3,2,3,4,2
Холодцов Кристиан,3,2,5,5,5
Алексеев Иван,2,4,5,3,4
Андреев Иван,4,5,4,2,5
Анисимов Иван,4,4,2,5,3
Антонов Иван,3,4,2,5,3
Баранов Иван,4,4,2,2,3
Белов Иван,4,3,3,3,4
Белоусов Иван,2,2,5,5,2
Беляев Иван,5,2,3,5,2
Бобров Иван,2,2,3,4,3
Богданов Иван,5,3,4,2,3
Борисов Иван,2,2,3,5,5
Васильев Иван,5,2,4,4,5
Веселов Иван,4,5,3,3,5
Виноградов Иван,4,4,2,2,4
Волков Иван,5,5,2,5,5
Воробьёв Иван,4,3,5,3,4
Герасимов Иван,3,4,2,4,5
Голубев Иван,4,5,2,3,2
Григорьев Иван,4,5,3,4,4
Гусев Иван,4,5,2,4,5
Данилов Иван,2,5,3,4,2
Дмитриев Иван,5,2,2,5,4
Дорофеев Иван,4,2,3,4,4
Егоров Иван,4,2,5,3,5
Ершов Иван,2,3,5,3,5
Жуков Иван,3,5,5,2,5
Журавлёв Иван,4,5,3,3,3
Зайцев Иван,5,5,4,2,2
Захаров Иван,5,2,2,2,3
Иванов Иван,4,2,5,2,5
Ильин Иван,3,2,5,2,3
Калинин Иван,5,5,3,4,3
Киселёв Иван,5,3,4,4,4
Ковалёв Иван,5,3,5,2,4
Козлов Иван,3,2,2,5,2
Комаров Иван,5,4,2,3,3
Королёв Иван,3,4,4,4,3
Крылов Иван,4,5,5,4,4
Кудрявцев Иван,4,4,3,4,4
Кузнецов Иван,5,2,5,3,2
Кузьмин Иван,5,5,2,2,2
Куликов Иван,5,3,5,4,2
Лазарев Иван,2,5,3,5,4
Лебедев Иван,5,3,4,4,5
Макаров Иван,3,4,4,4,5
Максимов Иван,4,4,3,5,3
Матвеев Иван,5,3,2,3,5
Медведев Иван,5,3,2,3,5
Михайлов Иван,2,2,3,5,4
Морозов Иван,5,3,3,5,4
Никитин Иван,2,5,2,2,5
Никифоров Иван,5,3,4,4,2
Николаев Иван,4,5,3,4,3
Новиков Иван,5,5,5,3,5
Орлов Иван,4,3,4,5,2
Осипов Иван,4,4,4,5,2
Павлов Иван,4,5,3,3,4
Петров Иван,5,5,3,4,5
Петухов Иван,3,5,3,3,3
Поляков Иван,3,4,3,3,3
Пономарёв Иван,5,3,5,2,5
Попов Иван,4,4,4,3,4
Романов Иван,5,5,5,3,3
Рябов Иван,3,5,4,4,3
Семёнов Иван,5,3,2,2,4
Сергеев Иван,2,2,3,4,3
Сидоров Иван,5,5,4,3,4
Смирнов Иван,4,2,5,4,4
Соболев Иван,2,5,4,4,2
Соколов Иван,5,3,4,5,2
Соловьёв Иван,2,5,3,3,2
Сорокин Иван,4,4,2,3,4
Степанов Иван,3,5,4,4,2
Тарасов Иван,2,4,4,2,2
Тимофеев Иван,3,2,5,3,5
Титов Иван,2,5,4,3,3
Фёдоров Иван,4,4,5,5,3
Федотов Иван,5,2,4,2,3
Фролов Иван,3,3,4,3,4
Цветков Иван,3,2,3,4,4
Яковлев Иван,2,4,3,5,5
Яблочкин Святослав,3,5,2,3,2
